time,Aim Mode,CurrentRoll,CurrentYaw,FPS / Frame,Heading,HeadingPID_kD,HeadingPID_kI,HeadingPID_kP,LeftStickX,LeftStickY,PreSpeed,RawTargetRoll,RightStickX,Roll,RollPower,Shooting,Sweeper Current,Sweeper Power*1000,Sweeper Velocity,Target Speed,TargetRoll,TargetYaw,Team,Time: Chassis,Time: RobotPos,Time: Sweeper,Time: Telemetry,Time: Turret,X,Y,Yaw,lbP,lbV,lfP,lfV,rbP,rbV,rfP,rfV,setPower: Chassis,setPower: Shooter,setPower: Sweeper,setPower: Turret,useNoHeadMode,logs
14:17:10.288,MANUAL,0.0,50.0,14.0 / 71.2 ms,1.0928302672020407E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,53 us,20695 us,30 us,63 us,9485 us,9.382941451209679E-6,-7.2713731879764424E-6,50.00 deg,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.334,MANUAL,0.0,50.0,24.0 / 41.6 ms,1.1269812130521034E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,56 us,17603 us,30 us,35 us,9491 us,9.676158532690932E-6,-7.4986030629975354E-6,50.00 deg,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.379,MANUAL,0.0,50.0,21.7 / 46.0 ms,1.0928302672020407E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.0,-0.0,-0.0,0,0.0,50.0,BLUE,53 us,22873 us,212 us,7823 us,10077 us,9.382941451209679E-6,-7.2713731879764424E-6,50.00 deg,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.422,MANUAL,0.0,50.0,22.5 / 44.4 ms,1.1269812130521034E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,55 us,20361 us,30 us,34 us,10975 us,9.676158532690932E-6,-7.4986030629975354E-6,50.00 deg,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.469,MANUAL,0.0,50.0,23.1 / 43.4 ms,1.0928302672020407E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.0,-0.0,-0.0,0,0.0,50.0,BLUE,75 us,20294 us,32 us,38 us,14204 us,9.382941451209679E-6,-7.2713731879764424E-6,50.00 deg,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.515,MANUAL,0.0,50.0,21.4 / 46.8 ms,1.0928302672020407E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,59 us,23304 us,37 us,37 us,10021 us,9.382941451209679E-6,-7.2713731879764424E-6,50.00 deg,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.554,MANUAL,0.0,50.0,21.9 / 45.6 ms,9.903774296518489E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,65 us,16937 us,36 us,45 us,9782 us,8.50328963385587E-6,-6.589683562913162E-6,50.00 deg,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.612,MANUAL,0.0,50.0,25.5 / 39.2 ms,9.562264838017851E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,68 us,22420 us,35 us,41 us,9926 us,8.210072552374616E-6,-6.362453687892069E-6,50.00 deg,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.655,MANUAL,0.0,50.0,17.1 / 58.6 ms,9.562264838017851E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.0,-0.0,-0.0,0,0.0,50.0,BLUE,57 us,19646 us,36 us,14212 us,9934 us,8.210072552374616E-6,-6.362453687892069E-6,50.00 deg,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.696,MANUAL,0.0,50.0,23.5 / 42.6 ms,9.562264838017851E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,58 us,18651 us,38 us,43 us,9852 us,8.210072552374616E-6,-6.362453687892069E-6,50.00 deg,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.757,MANUAL,0.0,50.0,24.5 / 40.8 ms,9.562264838017851E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,60 us,19017 us,36 us,44 us,13197 us,8.210071406554519E-6,-6.362454833712165E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.800,MANUAL,0.0,50.0,16.5 / 60.8 ms,9.562264838017851E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,72 us,19028 us,43 us,54 us,10442 us,8.210071406554519E-6,-6.362454833712165E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.842,MANUAL,0.0,50.0,23.1 / 43.2 ms,8.53773646251594E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,88 us,17540 us,44 us,70 us,10623 us,7.33041958920071E-6,-5.680765208648885E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.909,MANUAL,0.0,50.0,23.8 / 42.1 ms,8.53773646251594E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.0,-0.0,-0.0,0,0.0,50.0,BLUE,90 us,19688 us,46 us,53 us,18741 us,7.33041958920071E-6,-5.680765208648885E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:10.950,MANUAL,0.0,50.0,14.8 / 67.6 ms,7.854717545514663E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,58 us,19735 us,36 us,13971 us,9827 us,6.743983134598009E-6,-5.226305458606698E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.100,MANUAL,0.0,50.0,24.9 / 40.1 ms,7.854717545514663E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,69 us,21943 us,35 us,42 us,14659 us,6.743982561687961E-6,-5.226305458606698E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.470,MANUAL,0.0,50.0,19.6 / 51.1 ms,8.196227004015301E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.0,-0.0,-0.0,0,0.0,50.0,BLUE,288 us,20960 us,135 us,42 us,10677 us,7.037198497349118E-6,-5.4535364794478876E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.960,MANUAL,0.0,50.0,21.6 / 46.3 ms,8.53773646251594E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,67 us,21891 us,45 us,53 us,12033 us,7.330415005920324E-6,-5.680766354468981E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.141,MANUAL,0.0,50.0,20.3 / 49.3 ms,8.53773646251594E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,89 us,19422 us,44 us,52 us,10693 us,7.330415005920324E-6,-5.68076692737903E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.197,MANUAL,0.0,50.0,22.3 / 44.9 ms,9.562264838017851E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,71 us,18323 us,44 us,48 us,10498 us,8.210066823274132E-6,-6.362458844082504E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.259,MANUAL,0.0,50.0,17.9 / 55.8 ms,1.0586793213519766E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,68 us,21031 us,46 us,14274 us,13057 us,9.089718640627941E-6,-7.044148469145784E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.311,MANUAL,0.0,50.0,16.1 / 61.9 ms,9.903774296518489E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,67 us,20638 us,62 us,56 us,12568 us,8.503284477665435E-6,-6.589688719103597E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.359,MANUAL,0.0,50.0,19.2 / 52.0 ms,9.562264838017851E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.0,-0.0,-0.0,0,0.0,50.0,BLUE,86 us,22723 us,44 us,70 us,10653 us,8.21006739618418E-6,-6.362458844082504E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.408,MANUAL,0.0,50.0,20.9 / 47.9 ms,9.903774296518489E-5,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,74 us,20415 us,47 us,55 us,10675 us,8.503284477665435E-6,-6.589688719103597E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.465,MANUAL,0.0,50.0,20.4 / 49.0 ms,1.1611321589021677E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,69 us,18392 us,45 us,70 us,10579 us,9.96937045798175E-6,-7.72583924002916E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.517,MANUAL,0.0,50.0,17.3 / 57.9 ms,1.1269812130521034E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.0,-0.0,-0.0,0,0.0,50.0,BLUE,58 us,21619 us,35 us,13101 us,17253 us,9.676152803590448E-6,-7.498609365008068E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.563,MANUAL,0.0,50.0,19.5 / 51.3 ms,1.1269812130521034E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,54 us,21140 us,45 us,43 us,10518 us,9.676152803590448E-6,-7.498609365008068E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.611,MANUAL,0.0,50.0,21.7 / 46.2 ms,1.1611321589021677E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,70 us,18553 us,45 us,55 us,10747 us,9.969369312161653E-6,-7.72583924002916E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.656,MANUAL,0.0,50.0,21.0 / 47.6 ms,1.1952831047522314E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,70 us,18320 us,45 us,50 us,10879 us,1.0262588112373052E-5,-7.953070260870352E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.701,MANUAL,0.0,50.0,21.9 / 45.6 ms,1.3318868881524864E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.003,-0.0,-0.0,0,0.0,50.0,BLUE,68 us,18264 us,47 us,83 us,11817 us,1.143545872993826E-5,-8.861989760954726E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.754,MANUAL,0.0,50.0,22.4 / 44.6 ms,1.3318868881524864E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.0,-0.0,-0.0,0,0.0,50.0,BLUE,56 us,19350 us,34 us,60 us,12593 us,1.143545872993826E-5,-8.861989760954726E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.812,MANUAL,0.0,50.0,18.6 / 53.6 ms,1.3318868881524864E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.0,-0.0,-0.0,0,0.0,50.0,BLUE,58 us,20654 us,35 us,9488 us,10037 us,1.143545872993826E-5,-8.861990333864774E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
14:17:11.867,MANUAL,0.0,50.0,17.3 / 58.0 ms,1.2294340506022953E-4,0.05,0.1,3.0,0.0,0.0,0,0.0,0.0,0.00 deg,0.0,IDLE,0.0,-0.0,-0.0,0,0.0,50.0,BLUE,66 us,25065 us,44 us,53 us,10640 us,1.055580347512416E-5,-8.18030185462159E-6,50.00 deg,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0 us,0.0 us,0.0 us,0.0 us,false,""
