time,FPS / Frame,Time: Chassis,Time: RobotPos,Time: Sweeper,Time: Telemetry,Time: Turret,X,Y,Yaw,setPower: Chassis,setPower: Shooter,setPower: Sweeper,setPower: Turret,useNoHeadMode,logs
22:14.6,25.8 / 38.7 ms,66 us,21431 us,5 us,52 us,11776 us,0.002258669,-0.001749864,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:14.6,16.7 / 59.8 ms,66 us,19249 us,3 us,17458 us,10025 us,0.002259255,-0.001750318,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:14.6,27.5 / 36.3 ms,58 us,18010 us,3 us,43 us,10177 us,0.002259842,-0.001750772,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:14.7,24.4 / 40.9 ms,65 us,16391 us,3 us,45 us,11548 us,0.002260135,-0.001750999,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:14.7,28.3 / 35.4 ms,60 us,18378 us,3 us,45 us,10572 us,0.002260135,-0.001750999,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:14.8,24.6 / 40.6 ms,59 us,20851 us,4 us,46 us,10710 us,0.002260135,-0.001750999,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:14.8,23.3 / 42.8 ms,77 us,22266 us,4 us,54 us,10660 us,0.002260722,-0.001751453,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:14.9,23.9 / 41.9 ms,85 us,19048 us,4 us,73 us,20171 us,0.002260722,-0.001751453,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:14.9,14.8 / 67.7 ms,69 us,19551 us,4 us,17063 us,10577 us,0.002261015,-0.00175168,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:14.9,26.1 / 38.4 ms,73 us,18668 us,4 us,51 us,12142 us,0.002261309,-0.001751908,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
